id,label,number_corners,ratio_of_areas
1077,Salix,21,1.701292667
847,Salix,12,1.969269797
976,Salix,2,1.954694921
681,Salix,5,1.397620106
522,Salix,2,1.304615891
669,Salix,2,1.452038166
1201,Salix,7,1.322355822
1042,Salix,3,1.269946841
1221,Salix,2,1.338916149
1509,Salix,3,1.3612288
1532,Salix,4,1.352579939
1121,Salix,2,1.359945587
1442,Salix,3,1.22775356
798,Sorbus,35,1.51024339
1269,Sorbus,39,1.466036689
741,Sorbus,39,1.452929945
867,Sorbus,35,1.471436924
1395,Sorbus,26,1.484438399
1160,Sorbus,35,1.501903167
1200,Sorbus,35,1.473820814
714,Sorbus,46,1.398205208
1176,Sorbus,39,1.482798958
676,Sorbus,56,1.410657448
409,Tilia,39,1.578774117
959,Tilia,51,1.528277593
1062,Tilia,46,1.524686276
418,Tilia,64,1.590765709
1174,Tilia,48,1.55994237
386,Tilia,44,1.570864428
1482,Tilia,50,1.558375283
685,Tilia,43,1.614638117
1524,Tilia,55,1.596256674
107,Tilia,40,1.565089717
1152,Tilia,48,1.552833859
1040,Tilia,48,1.472821314
183,Tilia,37,1.597895465
239,Tilia,60,1.559299891
637,Tilia,25,1.470438128
1249,Tilia,45,1.499380248
1030,Tilia,54,1.58010371
466,Tilia,50,1.499406496
598,Tilia,57,1.445160502
416,Tilia,62,1.534717005
1335,Tilia,36,1.492975734
942,Tilia,38,1.483824111
50,Tilia,51,1.415281937
1544,Tilia,50,1.42112146
1059,Tilia,36,1.389027507
5,Tilia,49,1.421184567
459,Tilia,37,1.385394643
211,Tilia,41,1.49608488
1301,Tilia,27,1.493109172
649,Tilia,42,1.416157899
756,Ulmus,67,1.532603852
1135,Ulmus,77,1.517996488
436,Ulmus,77,1.613701084
1308,Ulmus,70,1.643262822
1448,Ulmus,59,1.651808999
1238,Ulmus,63,1.583786
1381,Ulmus,64,1.564966378
855,Ulmus,64,1.648489835
636,Ulmus,66,1.671414849
793,Ulmus,81,1.561167199
528,Viburnum,3,1.491011079
928,Viburnum,3,1.496557767
838,Viburnum,3,1.527143669
787,Viburnum,1,1.470157068
1211,Viburnum,2,1.461534332
869,Viburnum,2,1.554617702
1218,Viburnum,2,1.491946395
671,Viburnum,4,1.43421301
291,Viburnum,2,1.52074557
1240,Viburnum,2,1.548584164
1444,Viburnum,9,1.415627022
1226,Viburnum,4,1.369715393
152,Viburnum,3,1.35991929
1420,Viburnum,3,1.408243689
661,Viburnum,3,1.378781883
1474,Viburnum,3,1.413161801
1570,Viburnum,3,1.397581938
1300,Viburnum,3,1.343197429
556,Viburnum,8,1.439210883
1311,Viburnum,4,1.410924811
336,Zelkova,39,1.712832087
17,Zelkova,35,1.658210127
1410,Zelkova,28,1.73825458
1136,Zelkova,33,1.702219315
535,Zelkova,31,1.655859551
1265,Zelkova,41,1.698481686
993,Zelkova,34,1.620456983
1198,Zelkova,32,1.597849975
1443,Zelkova,35,1.698830308
718,Zelkova,28,1.670260148
